,CLOC,DLOC,LLOC,LOC,McCC,NOI,NOS,NUMPAR,TCLOC,TLLOC,TLOC,TNOS,WarningInfo,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,1.0,0.8774455379292895,0.421890830226115,0.562472759087312,0.4200236144952642,0.11462686932806793,0.4739069851353713,0.22472974259158135,0.9998101354543972,0.42195544862360457,0.5622614703256339,0.47322445583601774,0.42169643567626364,0.3145023450544635,0.3564000383457744,0.01673811407966404,0.38562344707902513,0.21815199633325652,0.23787084655416046,0.18999738769842006,0.21258595339033068,0.2167786309945215,0.22417259087974548,0.18999738417743167,0.21258606892420914
1,0.8774455379292896,1.0,0.14116509080901116,0.2813667956096835,0.19379946614357288,0.04462667967476007,0.17475656943056977,0.15017235154102934,0.8769738234293725,0.1408397866597081,0.2808426341058976,0.17391555905822415,0.21239515343607163,0.18140595071809187,0.2014055042389329,0.015728487221436223,0.18854016218622183,0.12272887770326239,0.11924526436848687,0.10642041314255672,0.11946419918397966,0.1142692274956296,0.11751721011343158,0.10642040946530029,0.11946425175750619
2,0.421890830226115,0.14116509080901116,1.0,0.9846535833985838,0.795165626947748,0.15936746432879104,0.8966842679947705,0.5517349029037715,0.42189801725475756,0.9994065884207628,0.983839873733382,0.8945189141177072,0.8904066134556549,0.6261494413613699,0.5245591745373074,-0.007431864676137724,0.8734364918304648,0.4265782580262927,0.4441234144441894,0.4282029437347607,0.43063372183355497,0.4376966642029812,0.42884859809906634,0.4282029435237908,0.4306337990817665
3,0.562472759087312,0.2813667956096835,0.9846535833985838,1.0,0.802971774751537,0.1696148851483214,0.9111672654583947,0.5282178183384525,0.5625512769208112,0.9843107119867269,0.9993975982016065,0.9093409386491986,0.8821978874234345,0.6184453049571909,0.5431686628930803,-0.005003716750140622,0.8592962129278201,0.4211687168781231,0.44267068354164346,0.4152331737698251,0.42295008318665595,0.4306646388237751,0.42513844934675116,0.4152331729601182,0.422950167208441
4,0.4200236144952642,0.19379946614357288,0.7951656269477481,0.802971774751537,1.0,0.21200179691334936,0.8955369798429372,0.4595152741790509,0.4211334648902297,0.7967701276503885,0.8042887473848701,0.8966241522125845,0.766597358868181,0.6057336692627392,0.7801871262050587,-0.014202513518442593,0.6666690190925075,0.43597594791955513,0.46513395175791056,0.41949957308244484,0.41173505816324757,0.41553913256942715,0.44713243945671477,0.41949957571642116,0.4117353353166815
5,0.11462686932806793,0.04462667967476007,0.15936746432879104,0.16961488514832143,0.21200179691334936,1.0,0.233476064373025,0.17019393636027189,0.11539137050297513,0.16112593572304632,0.17136361134198336,0.23597650531036748,0.14025500076424363,0.2068483300953246,0.14831774958252342,0.02526981445216155,0.12052439875952348,0.16190483246692655,0.17379256329578033,0.08979726798995816,0.12370088554549703,0.12888560682753936,0.17630755340489207,0.08979726994322436,0.12370021911549606
6,0.4739069851353713,0.17475656943056977,0.8966842679947705,0.9111672654583947,0.8955369798429373,0.23347606437302498,1.0,0.42270971007312635,0.474238696873693,0.896754123612384,0.9109783057438723,0.9984146608061397,0.8122755881555923,0.561405105247713,0.6422850582386476,-0.008611391958541126,0.7542728963762463,0.4588271583866898,0.47187218354549015,0.4184680430629156,0.4453350435038263,0.4544430005411447,0.4718556803374298,0.4184680432486791,0.4453351765388463
7,0.22472974259158132,0.15017235154102937,0.5517349029037716,0.5282178183384525,0.4595152741790509,0.17019393636027186,0.4227097100731263,1.0,0.22618484368072478,0.5546231537563153,0.531066712466384,0.4270735568039263,0.6349954306355188,0.7513374258199946,0.3125944896447738,-0.017831707314837384,0.6388615373271447,0.39093369078542656,0.41818214921461183,0.38774432023088007,0.36873809812076586,0.3718160224867353,0.3976135174555272,0.38774432247835056,0.3687384989669557
8,0.9998101354543971,0.8769738234293724,0.42189801725475756,0.5625512769208112,0.4211334648902297,0.11539137050297513,0.4742386968736931,0.22618484368072478,1.0,0.4225722083560682,0.5629601524732479,0.47452794994006664,0.4219532918934552,0.315350638389299,0.35692368667013363,0.016462758923815674,0.38577872516052614,0.22080589449928056,0.23877783238646255,0.19130519791235476,0.2142607670284937,0.2182369389567762,0.2264184713210864,0.19130519435921656,0.21426087626407742
9,0.42195544862360457,0.1408397866597081,0.9994065884207627,0.9843107119867268,0.7967701276503886,0.16112593572304632,0.896754123612384,0.5546231537563153,0.4225722083560682,0.9999999999999999,0.9846913187675301,0.8965241579106955,0.8904756187143168,0.6275227952194155,0.5248825750365083,-0.007983352928418468,0.873430759624777,0.4319993749117684,0.4458864389882223,0.43078317932160937,0.43400099111933477,0.4406154494852846,0.43343551208598224,0.4307831790273909,0.43400106590150506
