,CLOC,DLOC,LLOC,LOC,McCC,NOI,NOS,NUMPAR,TCLOC,TLLOC,TLOC,TNOS,WarningInfo,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,1.0,0.7784773498407455,0.39561969542928044,0.6807378869882191,0.2994272302361956,0.18007611924075986,0.36986095240472155,0.1764066519034393,0.9991753051531971,0.3857514672797115,0.6674068206367337,0.3543656418695214,0.23755305919394176,0.16340620711861106,0.14265413457814527,0.1060231094499001,0.21206916567132134,0.22211127578913625,0.2726622036276644,0.1884719630364257,0.20913222954018365,0.22961724852983073,0.25509672852602583,0.18847196199370295,0.20913058865348405
1,0.7784773498407455,1.0,0.2249097172122673,0.46593623368024994,0.2240550674618681,0.1429627187052262,0.2663576883504914,0.22209728398777967,0.7776142827332774,0.21983876432271257,0.4569651062770752,0.25608500607851614,0.09622600079668253,0.12507890817321693,0.07532259509659979,-0.012090971540632316,0.08328134764987277,0.13374253959105278,0.18716773122947197,0.09591464749463564,0.12189995796351989,0.1449081416259158,0.1708385206388236,0.09591464893973675,0.12190039773693825
2,0.3956196954292804,0.22490971721226732,0.9999999999999999,0.9371567669632558,0.6111937760268371,0.34799218822432143,0.7745106548442586,0.42030340825017254,0.39557881776802417,0.9731261021823115,0.9177953368559311,0.7392761288937245,0.6091052458981263,0.45808573807825437,0.3264287542655289,0.18744854760216614,0.5613298552892791,0.49678885010722107,0.48558141762702156,0.39916604337192024,0.5088885051823446,0.5387018784190759,0.5331120222087776,0.399166042926274,0.5088868074290407
3,0.6807378869882192,0.4659362336802499,0.9371567669632558,1.0,0.6168514400881417,0.3653398439502369,0.7835311977272077,0.39499563416501693,0.6806898272761545,0.9150953648569379,0.9819410106329121,0.752033629870639,0.5658605122019749,0.4205746509742529,0.32154250366449194,0.2093122283068432,0.5135397676927145,0.49119500563401647,0.5049671619854038,0.40119186280823405,0.49232424520151086,0.5242802983295516,0.5341663122096382,0.4011918616082777,0.49232228814165824
4,0.29942723023619566,0.22405506746186812,0.6111937760268371,0.6168514400881417,0.9999999999999998,0.3221822582316608,0.817136941837392,0.09789033275024793,0.2993411932804664,0.5918093231413529,0.6017311354263116,0.7769790119860721,0.318433941590478,0.3408068473809924,0.5598370703926283,0.23417342485063844,0.15897118230402052,0.664658256351074,0.6376181957771195,0.47852721193462816,0.6261659190600529,0.6580678032519414,0.7048089640620919,0.47852721281625354,0.6261655820923188
5,0.18007611924075986,0.1429627187052262,0.3479921882243214,0.36533984395023694,0.32218225823166075,0.9999999999999999,0.4298149977642456,0.21996774399773295,0.18017395909433143,0.34032136993409245,0.3587767232428814,0.4135475825937266,0.21590896395265635,0.1544500544178452,0.15968810900622718,0.22020171335039695,0.17599923165030704,0.1775558923221297,0.17027294054098294,0.12273574919349435,0.15523170851421844,0.17047899776140116,0.20378796445651637,0.12273574889132645,0.1552334153940774
6,0.36986095240472155,0.2663576883504914,0.7745106548442585,0.7835311977272076,0.817136941837392,0.4298149977642456,1.0,0.2588062354364766,0.36979647338558297,0.7537680328556124,0.7674111296654674,0.9551773690761048,0.4108744137321008,0.3539951786309202,0.43166936071991974,0.30751215971035556,0.2995516020640557,0.5516179872674563,0.5857517966251597,0.44155921433169526,0.5305247050671943,0.5705283640844238,0.6084601155802304,0.44155921122073727,0.5305240574950147
7,0.1764066519034393,0.22209728398777967,0.42030340825017254,0.39499563416501693,0.09789033275024793,0.21996774399773297,0.2588062354364765,1.0,0.17574540590424992,0.4077304624762632,0.3857666625767826,0.24433996294065935,0.5499156943699302,0.5018687433281446,0.01603880960730675,0.004459185743155612,0.6068605662049709,0.11073220808448016,0.1205032521054191,0.07162340559864493,0.10227091884366538,0.11683203798396813,0.13135731033511058,0.07162340614816133,0.10227001150042561
8,0.9991753051531972,0.7776142827332774,0.3955788177680241,0.6806898272761545,0.2993411932804664,0.1801739590943314,0.36979647338558297,0.17574540590424995,1.0,0.39112584483335966,0.6722929154831132,0.36146792321737653,0.23653414201658468,0.16400934738160286,0.14219227511328933,0.10581771782979163,0.211096649230033,0.22811739855574226,0.276122756531336,0.19353554884931976,0.21433476627571516,0.23421480044524765,0.2600650829579702,0.19353554779498244,0.2143330522768956
9,0.3857514672797115,0.2198387643227126,0.9731261021823115,0.9150953648569378,0.5918093231413529,0.3403213699340925,0.7537680328556124,0.4077304624762632,0.3911258448333597,1.0,0.9395603671260169,0.7868795040401528,0.601142788278628,0.46034150017449765,0.3346962737423105,0.18214334103104787,0.5500674317674918,0.5125131122291862,0.49650294928804556,0.40729642172303304,0.5205780919835836,0.5500605219257307,0.5482300122899317,0.4072964206015755,0.520575868328126
