,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L186,__init__,torchvision_imagenet_R_50.ClassificationNet.__init__~Fn,L184,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,51,5,53,26,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L191,device,torchvision_imagenet_R_50.ClassificationNet.device~Fn,L184,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,55,5,57,54,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L193,forward,torchvision_imagenet_R_50.ClassificationNet.forward~Fn,L184,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,59,5,66,23,0,0,0,8,8,2,0,0,0,0,6,2,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L198,reset,torchvision_imagenet_R_50.ClassificationAcc.reset~Fn,L196,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,70,5,71,34,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L202,process,torchvision_imagenet_R_50.ClassificationAcc.process~Fn,L196,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,73,5,76,32,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.0,27.0,0.009,9,8,1.5,27.0
5,L206,evaluate,torchvision_imagenet_R_50.ClassificationAcc.evaluate~Fn,L196,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,78,5,82,41,0,0,0,5,5,1,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
6,L440,__init__,predictor.VisualizationDemo.__init__~Fn,L403,L103,/content/detectron2/demo/predictor.py,16,5,35,50,0,7,7,12,20,3,0,0,0,0,8,4,0,7,12,20,8,0,0,0,0,0,0,0,0,0,0,10.0,1.5,34.89699375973561,0.0077548875021634,9,6,1.938721875540867,23.264662506490403
7,L432,run_on_image,predictor.VisualizationDemo.run_on_image~Fn,L403,L103,/content/detectron2/demo/predictor.py,37,5,66,38,0,10,9,19,30,4,0,0,0,0,13,2,0,10,19,30,13,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.4,43.2332657996871,0.0102936347142112,11,7,2.401848099982617,30.880904142633646
8,L452,_frame_from_video,predictor.VisualizationDemo._frame_from_video~Fn,L403,L103,/content/detectron2/demo/predictor.py,68,5,74,21,0,0,0,7,7,3,0,0,0,0,5,2,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L434,run_on_video,predictor.VisualizationDemo.run_on_video~Fn,L403,L103,/content/detectron2/demo/predictor.py,76,5,129,71,0,10,10,20,36,6,0,0,0,2,18,2,0,11,36,54,29,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.3333333333333333,48.0,0.012,12,8,2.6666666666666665,36.0
10,L478,__init__,predictor.AsyncPredictor.__init__~Fn,L442,L103,/content/detectron2/demo/predictor.py,160,5,185,38,0,5,5,19,26,4,0,0,0,0,16,3,0,5,19,26,16,0,0,0,0,0,0,0,0,0,0,10.0,1.5,34.89699375973561,0.0077548875021634,9,6,1.938721875540867,23.264662506490403
11,L483,put,predictor.AsyncPredictor.put~Fn,L442,L103,/content/detectron2/demo/predictor.py,187,5,189,50,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
12,L486,get,predictor.AsyncPredictor.get~Fn,L442,L103,/content/detectron2/demo/predictor.py,191,5,205,48,0,2,0,13,15,5,0,0,0,0,12,1,0,2,13,15,12,0,0,0,0,0,0,0,0,0,0,20.264662506490406,2.0,76.0782000346155,0.0126797000057692,12,9,4.226566668589751,38.03910001730775
